lng,lat
4.892127,45.764336
0.0403,51.5676
0.263416,49.514589
107.61102,-6.89492
-0.840258,51.410455
2.873984,48.967152
-86.800942,33.520901
107.53709,-6.87126
98.682288,3.575091
110.3792,-7.78241
-2.207729,53.458876
75.733486,26.923095
106.843294,-6.164089
120.603162,15.468099
3.281436,6.593563
-2.858145,52.900384
-84.586976,40.797915
-2.109184,52.59124
-77.866008,40.796135
106.9819,-6.17978
-2.991263,53.142002
101.752215,3.132801
1.37469,47.572572
106.78386,-6.32957
-74.822712,40.018684
-93.327064,45.157772
100.401163,5.390043
55.295643,25.234822
2.381792,48.888238
51.420457,25.291475
11.589882,3.964493
-79.842134,43.213824
2.633857,47.705464
110.421283,-7.75392
-6.151833,53.443887
121.021668,14.551923
-74.177307,40.186345
121.032343,14.656322
-95.253148,29.732005
-2.586284,50.929105
121.150952,14.521374
-73.943403,40.606578
120.989517,14.53841
120.359115,16.011764
-0.380929,49.294852
120.979276,14.860173
-75.154609,40.109585
12.644851,55.628751
3.331477,6.492748
-76.587518,37.156524
-0.317965,51.766609
-75.117975,39.70869
103.765282,1.304226
6.007138,49.196287
3.331477,6.492748
151.176679,-33.881981
-87.697919,41.975684
119.42387,-5.16991
-56.180892,-34.885023
-84.20457,39.753463
121.020425,14.551482
-81.415795,28.577759
121.000448,14.618193
101.721358,3.148976
100.539057,13.764595
-0.45454,46.350323
-0.753164,52.044652
2.955808,48.386428
124.83173,1.47154
14.627933,40.650005
-1.763303,53.791378
-1.486733,52.926293
-1.522486,54.893752
-117.772385,34.073933
110.42972,-6.95169
116.042777,5.956267
103.845594,1.300187
-80.46665,25.486637
119.41569,-5.14656
153.009163,-27.497324
-97.126361,32.729206
103.83949,1.312151
-78.906093,36.099663
3.079092,45.770417
106.90876,-6.21321
-115.157637,36.129316
-0.078184,51.514405
3.129405,43.339867
-0.185087,51.499141
-74.408089,40.667404
107.61542,-6.901
0.452835,44.817303
-4.084451,52.420969
-3.70352,40.486735
28.278977,-25.783175
-81.337207,41.695055
106.769977,-6.153659
38.194153,24.034057
1.976536,41.265084
-2.887388,53.191145
3.921465,43.564944
-0.042259,51.65858
-81.543152,41.055381
36.784827,-1.260356
114.212801,22.282397
100.445339,5.363696
112.62109,-7.94303
3.15446,6.671854
18.415552,-33.902549
3.140892,50.422399
106.73348,-6.18667
115.859276,-31.948791
-77.512798,43.117089
2.359274,48.6836
106.789994,-6.116665
120.980007,14.606411
106.60112,-6.21623
106.73991,-6.110567
-76.984032,42.857733
-78.634182,35.710856
125.67855,7.287801
103.83873,1.301077
121.095415,14.621499
-76.163103,44.329297
-73.978007,40.755719
37.9039,-0.0244
37.9039,-0.0244
121.133886,14.629816
-6.241547,53.337715
115.859276,-31.948791
-84.451943,33.61925
-81.504492,41.522682
-2.866579,56.472137
-2.482708,53.759141
-57.631046,-25.331587
5.385244,43.321733
33.274975,35.332519
101.583953,2.993746
122.938243,14.111759
36.802857,-1.322983
-0.964626,53.064243
-1.541716,53.791007
120.413561,15.677576
102.276846,6.136757
116.98928,-0.42005
121.05804,14.58564
-0.851169,48.33908
123.74359,13.143301
-110.70688,32.06336
-2.796407,48.524111
114.39042,-3.01244
-0.134496,51.530916
-98.209431,26.370213
6.477421,43.514106
112.61885,-7.95712
-81.975418,26.609052
31.478457,30.592961
110.41885,-7.68471
100.532992,13.746195
-106.566654,35.074774
