text,lat,lng,value
location271,38.89664,-77.03365,12.1
location272,47.61338,-122.33341,11.2
location273,38.03349,-78.49856,10.2
location274,36.84359,-76.18228,11.7
location275,33.12592,-117.2745,12.1
location276,33.75417,-116.4081,11.8
location277,31.73108,-106.31441,11.7
location278,34.44252,-118.60021,12.0
location279,33.4255,-111.9384,11.8
location280,36.61276,-121.89807,11.3
location281,41.83438,-88.01549,13.0
location282,45.51717,-122.67961,11.1
location283,26.39633,-80.0965,14.0
location284,37.59015,-122.34954,11.6
location285,41.80629,-88.07828,12.6
location286,36.15809,-86.78393,13.7
location287,40.75686,-73.97409,14.0
location288,28.45035,-81.3981,13.9
location289,30.20839,-97.75572,13.4
location290,30.26801,-97.74136,13.6
location291,38.90589,-77.05137,11.6
location292,38.61743,-90.28533,12.2
location293,40.6136,-74.17462,10.0
location294,37.68213,-97.34045,14.0
location295,34.01188,-118.48983,10.2
location296,43.02758,-88.1071,13.8
location297,39.19641,-76.6868,12.6
location298,37.33227,-121.88774,12.3
location299,42.07917,-86.42046,10.0
location300,38.7806,-84.93951,13.2
location301,42.03393,-71.23732,12.3
location302,32.07906,-81.08422,12.5
location303,41.51539,-88.12264,12.8
location304,42.27022,-88.97113,12.0
location305,42.24228,-83.33842,13.6
location306,41.39401,-81.64951,13.0
location307,36.6013,-121.8944,12.9
location308,33.83428,-84.34114,12.3
location309,41.7245,-87.94391,11.6
location310,40.61315,-74.17497,12.5
location311,47.60986,-122.33485,10.9
location312,42.74103,-84.65978,13.1
location313,37.08726,-113.5838,12.6
location314,32.97431,-96.71724,13.3
location315,39.43872,-76.63194,12.6
location316,43.11336,-75.21615,12.7
location317,38.04334,-84.4231,12.6
location318,40.76462,-73.99554,12.1
location319,38.55206,-86.61834,13.5
location320,39.63779,-106.40319,11.5
location321,34.95818,-89.99651,13.8
location322,39.52394,-76.18626,13.2
location323,41.88076,-87.62716,13.0
location324,41.49633,-91.52829,13.2
location325,26.36791,-80.16829,14.9
location326,41.49795,-81.68765,13.1
location327,33.26309,-116.95419,10.5
location328,38.62323,-90.19515,13.6
location329,35.9159,-84.09034,12.6
location330,43.13634,-89.30009,12.3
location331,41.39582,-81.64915,11.7
location332,42.34375,-71.57812,11.7
location333,40.23955,-76.80515,12.6
location334,42.68931,-84.49972,11.1
location335,37.58947,-122.34382,11.5
location336,38.78823,-77.06619,11.8
location337,38.96816,-119.93601,10.7
location338,32.16306,-110.91368,10.0
location339,38.92728,-77.21688,4.6
location340,44.97431,-93.26617,12.3
